epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5861,1.46119,3.13794,1.34733,0.43342,0.30497,0.28648,0.13602,0.24522,8.01403,0.27042,0.000665278,0.000665278,0.000665278
2,91.9642,1.73089,2.899,1.531,0.38291,0.299,0.26379,0.09839,0.28468,4.495,0.29845,0.00130557,0.00130557,0.00130557
3,134.189,1.76991,2.79276,1.57497,0.44859,0.30811,0.29359,0.13119,0.25806,14.2291,0.29529,0.00191947,0.00191947,0.00191947
4,175.741,1.68739,2.71027,1.54769,0.39173,0.34551,0.27149,0.12975,0.23936,13.6858,0.27512,0.0018812,0.0018812,0.0018812
5,217.077,1.64686,2.69169,1.5137,0.59954,0.40199,0.43587,0.24896,0.20072,4.89368,0.23216,0.0018416,0.0018416,0.0018416
6,258.175,1.5558,2.65501,1.45496,0.66605,0.49034,0.53126,0.27902,0.21237,2.29119,0.24668,0.001802,0.001802,0.001802
7,300.127,1.52791,2.4184,1.4566,0.50026,0.40864,0.41612,0.2002,0.2227,2.84133,0.25165,0.0017624,0.0017624,0.0017624
8,341.611,1.55241,2.46843,1.46498,0.61323,0.46844,0.50633,0.26828,0.20928,2.1562,0.24087,0.0017228,0.0017228,0.0017228
9,382.999,1.48004,2.3688,1.40961,0.60799,0.43283,0.47472,0.25165,0.22287,0.79385,0.24103,0.0016832,0.0016832,0.0016832
10,424.266,1.46103,2.31094,1.40581,0.60098,0.49834,0.52685,0.32492,0.16726,2.03656,0.20592,0.0016436,0.0016436,0.0016436
11,465.254,1.43447,2.34938,1.38266,0.70813,0.54153,0.60449,0.36068,0.1895,0.72564,0.2223,0.001604,0.001604,0.001604
12,506.474,1.43709,2.28909,1.38222,0.7287,0.54485,0.62226,0.33472,0.1876,0.48888,0.2192,0.0015644,0.0015644,0.0015644
