epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1807,1.4507,3.22006,1.37917,0.32737,0.13289,0.14912,0.06302,0.32183,1.45903,0.34333,0.000665278,0.000665278,0.000665278
2,99.7184,1.79851,2.95855,1.62032,0.19516,0.10963,0.07191,0.02453,0.31511,5.61691,0.31727,0.00130557,0.00130557,0.00130557
3,146.263,1.79291,2.95143,1.62014,0.56,0.25793,0.30658,0.11938,0.25333,11.7585,0.28059,0.00191947,0.00191947,0.00191947
4,192.249,1.66386,2.76821,1.5714,0.64226,0.3289,0.40372,0.20998,0.22889,4.89557,0.2677,0.0018812,0.0018812,0.0018812
5,238.168,1.63693,2.83559,1.546,0.58145,0.36877,0.41604,0.20552,0.23125,2.26161,0.25675,0.0018416,0.0018416,0.0018416
6,283.471,1.5427,2.7232,1.47719,0.61086,0.37028,0.43133,0.22452,0.23653,1.11515,0.27717,0.001802,0.001802,0.001802
7,329.397,1.52953,2.58272,1.48044,0.33158,0.31894,0.25272,0.11971,0.2663,3.43588,0.2947,0.0017624,0.0017624,0.0017624
8,374.321,1.53103,2.60882,1.46845,0.67435,0.47471,0.54474,0.30561,0.21266,0.58626,0.24416,0.0017228,0.0017228,0.0017228
9,420.163,1.47862,2.48655,1.43939,0.74043,0.4549,0.56187,0.31268,0.20262,1.87091,0.23581,0.0016832,0.0016832,0.0016832
10,465.877,1.43794,2.41947,1.43332,0.64743,0.50025,0.55782,0.32458,0.18786,2.83078,0.22511,0.0016436,0.0016436,0.0016436
11,511.656,1.41206,2.39044,1.39256,0.60745,0.44213,0.51189,0.2742,0.21481,1.7855,0.24749,0.001604,0.001604,0.001604
12,556.704,1.43477,2.37432,1.41101,0.51099,0.44518,0.40756,0.20854,0.21947,1.03231,0.24084,0.0015644,0.0015644,0.0015644
13,601.739,1.38368,2.41085,1.37597,0.70106,0.48837,0.58175,0.35542,0.18529,0.73698,0.21611,0.0015248,0.0015248,0.0015248
14,647.663,1.37782,2.20515,1.3908,0.63735,0.55814,0.59988,0.35623,0.1748,3.21525,0.22142,0.0014852,0.0014852,0.0014852
15,692.584,1.35505,2.0996,1.3833,0.72402,0.56146,0.61574,0.39562,0.15903,0.9278,0.20289,0.0014456,0.0014456,0.0014456
16,737.932,1.3262,2.22506,1.34312,0.63916,0.54727,0.56421,0.32358,0.19699,1.57945,0.24678,0.001406,0.001406,0.001406
17,783.044,1.32896,2.17131,1.36108,0.69447,0.60133,0.6518,0.42455,0.16892,1.86975,0.21259,0.0013664,0.0013664,0.0013664
18,828.033,1.28259,2.24182,1.33034,0.66386,0.56426,0.62326,0.36536,0.17386,0.74841,0.21584,0.0013268,0.0013268,0.0013268
19,873.425,1.26246,2.41974,1.31119,0.79112,0.60397,0.69021,0.44953,0.15652,1.00861,0.19801,0.0012872,0.0012872,0.0012872
20,918.861,1.283,1.88798,1.33914,0.77115,0.57093,0.65895,0.44201,0.17134,0.61761,0.20997,0.0012476,0.0012476,0.0012476
21,964.198,1.25879,2.08316,1.31558,0.71817,0.54181,0.62599,0.42413,0.16539,0.42796,0.20895,0.001208,0.001208,0.001208
22,1009.19,1.26466,2.00511,1.31486,0.77571,0.62791,0.70651,0.451,0.16038,0.98674,0.20753,0.0011684,0.0011684,0.0011684
23,1054.55,1.19851,2.10341,1.28713,0.74003,0.58633,0.66845,0.43847,0.15955,0.85548,0.20272,0.0011288,0.0011288,0.0011288
24,1100.03,1.21413,1.90725,1.30502,0.73151,0.64266,0.70275,0.45672,0.14356,1.27065,0.1891,0.0010892,0.0010892,0.0010892
25,1145.66,1.24317,1.86403,1.30837,0.7889,0.63787,0.71681,0.47413,0.15832,0.4897,0.19958,0.0010496,0.0010496,0.0010496
26,1191.09,1.20282,1.99365,1.28709,0.78442,0.6412,0.72789,0.49541,0.16163,0.5188,0.20586,0.00101,0.00101,0.00101
27,1236.77,1.20177,1.83486,1.29778,0.76204,0.60643,0.67806,0.45439,0.15064,0.676,0.19442,0.0009704,0.0009704,0.0009704
28,1282.65,1.20213,1.94872,1.26567,0.76645,0.61057,0.71464,0.47154,0.15204,0.60972,0.20131,0.0009308,0.0009308,0.0009308
29,1327.29,1.15331,2.00672,1.24503,0.75874,0.63735,0.71427,0.4844,0.15175,0.69338,0.19381,0.0008912,0.0008912,0.0008912
30,1372.44,1.17318,1.9926,1.26326,0.74886,0.64784,0.70875,0.49425,0.14711,0.5986,0.19872,0.0008516,0.0008516,0.0008516
31,1419.08,1.14774,1.95197,1.26502,0.71005,0.6346,0.66369,0.446,0.14286,0.72194,0.18723,0.000812,0.000812,0.000812
32,1465.52,1.13253,1.93448,1.24814,0.77728,0.63769,0.72872,0.49145,0.14533,0.66971,0.19304,0.0007724,0.0007724,0.0007724
33,1511.91,1.16127,1.78859,1.26001,0.80997,0.62458,0.74287,0.51628,0.13923,0.48272,0.18764,0.0007328,0.0007328,0.0007328
34,1556.79,1.10102,1.84364,1.23401,0.77731,0.65781,0.74214,0.50876,0.14074,0.47734,0.18648,0.0006932,0.0006932,0.0006932
35,1601.16,1.0794,1.85727,1.21975,0.78651,0.67315,0.75468,0.51636,0.14196,0.63201,0.18958,0.0006536,0.0006536,0.0006536
36,1646.85,1.09656,1.5938,1.23843,0.7879,0.66642,0.76624,0.52182,0.1362,0.46705,0.18508,0.000614,0.000614,0.000614
37,1691.77,1.10005,1.67082,1.23414,0.826,0.6624,0.77026,0.53893,0.13216,0.43259,0.17979,0.0005744,0.0005744,0.0005744
38,1736.32,1.07131,1.78993,1.21555,0.84887,0.65313,0.76942,0.54002,0.1326,0.367,0.18123,0.0005348,0.0005348,0.0005348
39,1780.73,1.03615,1.7786,1.19108,0.8612,0.65961,0.76741,0.54472,0.13392,0.35397,0.18278,0.0004952,0.0004952,0.0004952
40,1824.88,1.04423,1.85351,1.20577,0.79924,0.6711,0.75921,0.52537,0.12981,0.5462,0.17966,0.0004556,0.0004556,0.0004556
41,1868.21,0.79754,1.86256,0.9445,0.82256,0.66223,0.77142,0.52295,0.13158,0.32532,0.17964,0.000416,0.000416,0.000416
42,1910.76,0.79455,1.73956,0.9678,0.84732,0.6113,0.76715,0.54551,0.12708,0.23335,0.17752,0.0003764,0.0003764,0.0003764
43,1953.68,0.78962,1.70912,0.96903,0.87865,0.62542,0.76976,0.54184,0.12956,0.25435,0.17822,0.0003368,0.0003368,0.0003368
44,1996.22,0.76111,1.77983,0.94231,0.85983,0.65212,0.77782,0.54994,0.12854,0.2311,0.17777,0.0002972,0.0002972,0.0002972
45,2038.63,0.73653,1.64813,0.91684,0.8687,0.64784,0.77811,0.55122,0.1274,0.25593,0.17511,0.0002576,0.0002576,0.0002576
46,2081.24,0.76029,1.65316,0.95824,0.8638,0.67442,0.78183,0.54953,0.12461,0.29049,0.17593,0.000218,0.000218,0.000218
47,2123.59,0.70908,1.68946,0.89584,0.87236,0.63575,0.77788,0.5565,0.12473,0.23954,0.17535,0.0001784,0.0001784,0.0001784
48,2166.24,0.73045,1.78515,0.93575,0.87465,0.63455,0.78607,0.55933,0.12331,0.2396,0.17458,0.0001388,0.0001388,0.0001388
49,2208.58,0.68702,1.54907,0.89102,0.8761,0.65116,0.78104,0.55695,0.12472,0.22795,0.17718,9.92e-05,9.92e-05,9.92e-05
50,2251.1,0.73557,1.64808,0.91511,0.87214,0.63123,0.78545,0.5646,0.12336,0.22562,0.17527,5.96e-05,5.96e-05,5.96e-05
