               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082944,            0.013165,                   0,             0.52599,             0.48173,             0.47529,              0.2375,            0.018677,           0.0045644,                   0,            0.070155,           0.0033161,           0.0033161
                   1,            0.056742,            0.011801,                   0,             0.62635,             0.60133,             0.62252,              0.3546,            0.017478,            0.003561,                   0,            0.040024,           0.0065177,           0.0065177
                   2,            0.055098,            0.010839,                   0,             0.72626,             0.67442,             0.67856,             0.35301,            0.014546,           0.0031753,                   0,           0.0097601,           0.0095874,           0.0095874
                   3,            0.051984,           0.0095437,                   0,             0.78409,             0.66777,             0.69863,              0.3727,            0.015626,           0.0030188,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.049913,           0.0096166,                   0,             0.73534,             0.68309,              0.7324,             0.38717,            0.014299,           0.0029088,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.047688,             0.00928,                   0,             0.83483,             0.63808,             0.74883,             0.43352,            0.013264,           0.0028268,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.046607,           0.0090929,                   0,             0.85904,             0.68771,             0.78135,             0.45445,            0.013087,           0.0027718,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.045341,           0.0084407,                   0,             0.84713,             0.71799,              0.7963,             0.50056,             0.01242,           0.0026901,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.044305,           0.0084104,                   0,             0.81578,             0.74086,             0.79408,             0.47983,            0.011803,           0.0026789,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.043987,           0.0085846,                   0,             0.74962,             0.74599,             0.78154,             0.47474,            0.011393,           0.0028444,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.042731,           0.0081708,                   0,              0.8076,             0.71121,              0.7941,              0.4674,            0.011653,           0.0028383,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.042402,           0.0078519,                   0,             0.78959,             0.69103,             0.75354,             0.47571,            0.011873,           0.0027189,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.042429,           0.0081402,                   0,             0.86721,              0.6711,             0.79328,             0.51301,            0.011701,           0.0026546,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.041896,           0.0082799,                   0,             0.83835,             0.73422,             0.80632,             0.51294,            0.011408,           0.0026272,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.041265,           0.0080143,                   0,             0.83662,             0.69767,             0.78271,             0.50974,            0.011081,           0.0026827,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.040752,           0.0080927,                   0,             0.92195,               0.701,             0.81678,              0.5215,            0.010928,           0.0024918,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.03973,           0.0078742,                   0,             0.91786,             0.70764,              0.8148,             0.52757,            0.010207,           0.0025317,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.040402,           0.0077149,                   0,             0.88069,             0.73573,             0.82648,             0.53554,             0.01047,           0.0025675,                   0,            0.006832,            0.006832,            0.006832
