epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.343,1.4018,1.83549,1.28736,0.47865,0.48837,0.44892,0.2256,0.68344,22.3725,0.785,0.000663212,0.000663212,0.000663212
2,37.8739,1.56592,1.58762,1.44406,0.60273,0.54436,0.55601,0.27525,0.67529,4.34451,0.7662,0.00130355,0.00130355,0.00130355
3,55.1976,1.58639,1.55284,1.46314,0.63511,0.44525,0.48665,0.23537,0.78422,21.9302,0.86925,0.00191748,0.00191748,0.00191748
4,72.0406,1.5982,1.5442,1.47938,0.63353,0.46844,0.50485,0.25293,0.72772,25.0156,0.79966,0.0018812,0.0018812,0.0018812
5,88.7251,1.54181,1.41706,1.42269,0.7586,0.52159,0.63677,0.3603,0.705,3.63025,0.83444,0.0018416,0.0018416,0.0018416
6,105.411,1.48919,1.41539,1.42535,0.67126,0.52492,0.58166,0.34088,0.68405,40.1953,0.83719,0.001802,0.001802,0.001802
7,122.124,1.44955,1.33756,1.37976,0.67299,0.60168,0.65212,0.40406,0.58465,6.29728,0.75847,0.0017624,0.0017624,0.0017624
8,139.053,1.40509,1.33137,1.36074,0.76926,0.63133,0.70951,0.43324,0.5984,2.50704,0.76596,0.0017228,0.0017228,0.0017228
9,155.718,1.39276,1.30249,1.34312,0.7729,0.59926,0.68697,0.3909,0.65919,0.96043,0.81823,0.0016832,0.0016832,0.0016832
10,172.486,1.34876,1.22097,1.3278,0.67675,0.58804,0.66745,0.40837,0.57736,0.64595,0.72989,0.0016436,0.0016436,0.0016436
11,189.534,1.35301,1.23064,1.33594,0.755,0.6113,0.70274,0.40779,0.53903,1.86938,0.70001,0.001604,0.001604,0.001604
12,206.412,1.33615,1.20403,1.32235,0.7924,0.6113,0.71704,0.4606,0.55787,5.44095,0.73303,0.0015644,0.0015644,0.0015644
13,223.318,1.32099,1.16489,1.31494,0.81061,0.54036,0.67152,0.42901,0.53165,0.70457,0.66732,0.0015248,0.0015248,0.0015248
14,240.235,1.28621,1.12843,1.28942,0.84502,0.60465,0.72265,0.45575,0.53498,0.92008,0.71411,0.0014852,0.0014852,0.0014852
15,257.193,1.23367,1.11119,1.27994,0.8615,0.64064,0.7552,0.46707,0.48091,1.1206,0.67423,0.0014456,0.0014456,0.0014456
16,273.603,1.21687,1.08407,1.26087,0.80743,0.63123,0.74162,0.46449,0.64061,1.39276,0.8247,0.001406,0.001406,0.001406
17,290.275,1.25204,1.09399,1.2711,0.82606,0.63787,0.74456,0.47636,0.4537,2.7561,0.63548,0.0013664,0.0013664,0.0013664
