epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4739,1.32411,1.43489,1.29394,0.5634,0.51827,0.50354,0.24856,0.87024,7.01396,1.01907,0.000663212,0.000663212,0.000663212
2,42.0937,1.59034,1.47882,1.4707,0.4812,0.33555,0.34383,0.15328,0.85451,1.67399,0.95806,0.00130355,0.00130355,0.00130355
3,61.6939,1.61416,1.54452,1.49983,0.56312,0.45515,0.45584,0.21421,0.79718,53.666,0.91251,0.00191748,0.00191748,0.00191748
4,80.5725,1.56821,1.49791,1.48175,0.53638,0.38052,0.43354,0.20951,0.88238,2.46974,0.95499,0.0018812,0.0018812,0.0018812
5,99.6922,1.51254,1.42759,1.4365,0.73693,0.58472,0.65134,0.39324,0.65438,2.12298,0.82816,0.0018416,0.0018416,0.0018416
6,119.084,1.46219,1.33805,1.42253,0.68766,0.39535,0.49794,0.25868,0.833,1.98173,0.96936,0.001802,0.001802,0.001802
7,138.203,1.38924,1.28319,1.3745,0.71933,0.55814,0.64203,0.39344,0.59238,2.42167,0.74889,0.0017624,0.0017624,0.0017624
8,157.361,1.40335,1.25812,1.36756,0.71508,0.54485,0.63321,0.37768,0.54222,8.66256,0.69452,0.0017228,0.0017228,0.0017228
9,176.567,1.35298,1.20701,1.35258,0.74691,0.58826,0.68042,0.39932,0.58952,1.348,0.74352,0.0016832,0.0016832,0.0016832
10,196.182,1.34583,1.21823,1.33838,0.72018,0.62458,0.69162,0.42574,0.59172,1.86748,0.75093,0.0016436,0.0016436,0.0016436
11,215.429,1.28366,1.13057,1.31791,0.70988,0.63123,0.67965,0.4118,0.63932,3.86464,0.7989,0.001604,0.001604,0.001604
12,234.543,1.27923,1.14909,1.32987,0.7827,0.57807,0.68475,0.44073,0.56644,1.14892,0.74428,0.0015644,0.0015644,0.0015644
13,253.991,1.268,1.09688,1.30464,0.78281,0.62265,0.72076,0.46041,0.48459,1.11664,0.6505,0.0015248,0.0015248,0.0015248
14,273.119,1.27087,1.07566,1.30062,0.79027,0.61794,0.73339,0.47467,0.50857,2.55657,0.67083,0.0014852,0.0014852,0.0014852
15,292.392,1.22628,1.07302,1.28763,0.83812,0.61925,0.73044,0.48061,0.56975,1.85663,0.75333,0.0014456,0.0014456,0.0014456
16,311.481,1.19752,1.01941,1.26885,0.75517,0.63455,0.72615,0.48003,0.53893,0.62994,0.71328,0.001406,0.001406,0.001406
17,330.644,1.21618,1.05136,1.27463,0.8086,0.60354,0.7178,0.49136,0.46927,0.94259,0.66143,0.0013664,0.0013664,0.0013664
18,349.66,1.19295,0.99813,1.27706,0.78263,0.65788,0.76063,0.51472,0.45637,0.52258,0.63687,0.0013268,0.0013268,0.0013268
19,368.707,1.15741,0.96722,1.24666,0.76345,0.66445,0.74472,0.49183,0.47194,1.18019,0.65206,0.0012872,0.0012872,0.0012872
20,387.612,1.17052,0.97438,1.24748,0.81348,0.64784,0.75331,0.49415,0.46337,0.66443,0.66655,0.0012476,0.0012476,0.0012476
21,406.93,1.13607,0.94602,1.23448,0.8491,0.59801,0.72261,0.47797,0.50356,0.49461,0.6961,0.001208,0.001208,0.001208
22,426.117,1.11702,0.94084,1.23395,0.83929,0.694,0.78482,0.5337,0.47384,0.95108,0.67307,0.0011684,0.0011684,0.0011684
23,445.301,1.09561,0.93316,1.22733,0.87559,0.67442,0.78262,0.53404,0.44109,0.6188,0.64203,0.0011288,0.0011288,0.0011288
24,464.418,1.10813,0.90682,1.22049,0.82892,0.67442,0.79193,0.54129,0.41097,0.74411,0.60598,0.0010892,0.0010892,0.0010892
25,483.594,1.09272,0.9035,1.22085,0.87211,0.6711,0.79299,0.53638,0.49702,0.47532,0.68069,0.0010496,0.0010496,0.0010496
26,502.627,1.11384,0.89212,1.22726,0.87502,0.64452,0.78521,0.53426,0.40842,0.64802,0.60759,0.00101,0.00101,0.00101
27,521.747,1.06723,0.88101,1.19952,0.83692,0.68771,0.78717,0.54693,0.39284,0.51015,0.58996,0.0009704,0.0009704,0.0009704
28,540.74,1.05709,0.83762,1.20031,0.85856,0.67774,0.78636,0.5573,0.44129,0.99453,0.64259,0.0009308,0.0009308,0.0009308
29,559.652,1.06728,0.84907,1.20139,0.81709,0.68439,0.77588,0.53244,0.46023,0.50777,0.64085,0.0008912,0.0008912,0.0008912
30,578.602,1.04436,0.84425,1.19239,0.89664,0.66287,0.79108,0.54342,0.41074,0.36079,0.59953,0.0008516,0.0008516,0.0008516
31,597.533,1.04219,0.84171,1.19445,0.79898,0.701,0.80344,0.55885,0.4013,0.49364,0.58595,0.000812,0.000812,0.000812
32,616.85,1.01538,0.82465,1.17633,0.81467,0.67774,0.76391,0.53706,0.39571,0.66481,0.59314,0.0007724,0.0007724,0.0007724
33,635.847,0.99777,0.80852,1.16386,0.81173,0.71096,0.79279,0.56062,0.40406,0.39428,0.59555,0.0007328,0.0007328,0.0007328
34,654.792,1.01211,0.8018,1.15682,0.83506,0.71096,0.79418,0.56803,0.39263,0.60603,0.59719,0.0006932,0.0006932,0.0006932
35,673.611,1.00614,0.79989,1.17475,0.88167,0.64358,0.7745,0.54855,0.38012,0.36947,0.57101,0.0006536,0.0006536,0.0006536
36,692.55,0.97466,0.76863,1.14889,0.8153,0.71861,0.81159,0.57753,0.37092,0.30158,0.57349,0.000614,0.000614,0.000614
37,711.661,0.98062,0.77659,1.15681,0.87599,0.72425,0.81181,0.57771,0.34769,0.39374,0.55246,0.0005744,0.0005744,0.0005744
38,730.64,0.98017,0.75978,1.15318,0.81695,0.68771,0.7704,0.54947,0.37608,0.37809,0.58079,0.0005348,0.0005348,0.0005348
39,749.654,0.9481,0.73884,1.13731,0.87507,0.66113,0.78557,0.55004,0.40295,0.31145,0.6071,0.0004952,0.0004952,0.0004952
40,768.866,0.96113,0.75526,1.15322,0.7789,0.74419,0.80797,0.5908,0.33007,0.3084,0.5455,0.0004556,0.0004556,0.0004556
41,788.677,0.85707,0.75541,1.08456,0.86789,0.72024,0.82072,0.59693,0.34439,0.32714,0.54692,0.000416,0.000416,0.000416
42,807.46,0.84615,0.65069,1.08374,0.89914,0.69435,0.80971,0.58674,0.32792,0.31666,0.53983,0.0003764,0.0003764,0.0003764
43,826.584,0.83703,0.63418,1.06509,0.88263,0.69957,0.80982,0.58923,0.3374,0.31108,0.53858,0.0003368,0.0003368,0.0003368
44,845.311,0.80776,0.62767,1.05287,0.83471,0.72757,0.81779,0.58668,0.32182,0.29988,0.54006,0.0002972,0.0002972,0.0002972
45,863.98,0.78334,0.57576,1.03848,0.854,0.69103,0.79679,0.58709,0.308,0.28872,0.52363,0.0002576,0.0002576,0.0002576
46,882.61,0.78717,0.59872,1.05587,0.82603,0.69409,0.79462,0.58089,0.3302,0.28727,0.53963,0.000218,0.000218,0.000218
47,901.122,0.76897,0.59242,1.05345,0.84734,0.67774,0.80874,0.59138,0.32122,0.28978,0.53318,0.0001784,0.0001784,0.0001784
48,919.592,0.77579,0.56168,1.03204,0.84507,0.72757,0.81414,0.59544,0.32281,0.26913,0.53861,0.0001388,0.0001388,0.0001388
49,938.085,0.74053,0.54838,0.9899,0.86089,0.71961,0.8146,0.60164,0.31558,0.2601,0.53134,9.92e-05,9.92e-05,9.92e-05
