               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073093,           0.0073611,                   0,              0.3702,              0.3066,             0.27053,             0.13164,           0.0055859,           0.0023027,                   0,            0.070062,           0.0033264,           0.0033264
                   1,            0.051976,            0.006986,                   0,             0.40178,             0.48505,             0.34718,             0.18948,           0.0051796,           0.0018129,                   0,            0.039931,           0.0065279,           0.0065279
                   2,            0.052755,           0.0066356,                   0,             0.31482,             0.40532,             0.29739,             0.14282,           0.0058106,            0.001799,                   0,           0.0096668,           0.0095973,           0.0095973
                   3,            0.054611,           0.0064677,                   0,             0.24874,              0.3588,             0.17908,            0.082594,           0.0068772,           0.0019114,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.053461,           0.0064388,                   0,             0.53706,             0.39535,             0.37852,             0.17073,           0.0065753,           0.0018738,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.051528,           0.0061807,                   0,             0.49698,             0.40701,             0.36954,             0.18728,              0.0057,           0.0017058,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.05005,           0.0062273,                   0,             0.55698,             0.49834,             0.46735,             0.21576,           0.0058816,           0.0016184,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.050863,           0.0061639,                   0,             0.48767,              0.4186,             0.39679,             0.19503,           0.0056858,           0.0017625,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.049418,           0.0064094,                   0,             0.54821,             0.47841,             0.49179,             0.25425,           0.0059071,           0.0016487,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.046002,           0.0060131,                   0,             0.51234,             0.49834,             0.45031,             0.26723,           0.0053112,           0.0016904,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.046708,           0.0060436,                   0,             0.66579,             0.58472,               0.596,              0.3478,           0.0052951,           0.0015466,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.046611,           0.0060654,                   0,             0.67139,             0.57143,             0.59448,             0.33884,            0.005094,            0.001517,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.045396,             0.00594,                   0,             0.69801,             0.54817,             0.61947,             0.33278,           0.0052322,           0.0015233,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.043764,           0.0060567,                   0,             0.79761,             0.61538,             0.67195,              0.3961,           0.0048707,           0.0016078,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.044061,           0.0058096,                   0,             0.74399,             0.59468,             0.65911,              0.3638,           0.0051656,           0.0015077,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.043242,           0.0061946,                   0,             0.71716,             0.61462,             0.66892,             0.41369,            0.004515,           0.0014272,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.042802,           0.0060007,                   0,             0.74651,              0.5814,             0.65316,             0.39335,           0.0046084,            0.001431,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.043013,           0.0058664,                   0,             0.71336,             0.61462,             0.65591,             0.35942,           0.0051453,           0.0013741,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.042492,           0.0057405,                   0,             0.75039,             0.59924,             0.66737,             0.39993,           0.0044351,            0.001423,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.042019,           0.0055654,                   0,             0.70877,             0.65781,             0.68643,               0.394,           0.0043728,           0.0013315,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.042859,           0.0056402,                   0,             0.76534,             0.59597,             0.64836,             0.39031,           0.0045452,           0.0013295,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.042123,           0.0054471,                   0,             0.71627,             0.63787,             0.66284,             0.38845,           0.0043504,           0.0013197,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.041124,            0.005606,                   0,             0.78226,             0.62791,             0.68988,             0.42116,            0.004593,           0.0012742,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.041654,           0.0053034,                   0,             0.78207,             0.66766,             0.72015,             0.43591,           0.0045022,           0.0012273,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.040099,           0.0053568,                   0,              0.7677,             0.62584,              0.7165,             0.46323,           0.0041824,           0.0012687,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.040808,            0.005054,                   0,             0.73144,             0.62458,             0.67497,             0.40998,           0.0042925,            0.001297,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.040161,           0.0051326,                   0,             0.78682,             0.66777,             0.73043,             0.45931,           0.0040747,           0.0011898,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.039107,           0.0050654,                   0,             0.77412,             0.69767,               0.734,             0.45553,           0.0041121,           0.0012187,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.039565,           0.0051034,                   0,              0.7907,             0.66113,             0.72431,             0.44814,           0.0042359,           0.0012088,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.038374,           0.0050582,                   0,             0.72907,             0.66777,             0.70509,             0.45089,           0.0038982,           0.0012382,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.039256,            0.004971,                   0,             0.77559,             0.64452,             0.71054,             0.46213,           0.0040173,           0.0012163,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.038248,           0.0051757,                   0,             0.82982,             0.65116,              0.7308,             0.46082,           0.0041609,           0.0012177,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.038504,           0.0050151,                   0,              0.7637,             0.66113,             0.72976,             0.46555,            0.004037,           0.0011956,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.038258,           0.0051603,                   0,             0.78694,             0.70432,             0.75003,             0.48188,           0.0040241,           0.0011396,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.03754,           0.0049372,                   0,             0.77983,             0.71782,             0.75197,             0.46135,           0.0037748,           0.0011847,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.036704,           0.0049645,                   0,              0.8329,             0.71205,             0.77737,             0.49496,            0.003963,           0.0011539,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.036089,           0.0046722,                   0,             0.84334,             0.66174,             0.75734,             0.49742,           0.0038825,           0.0011972,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.036728,           0.0047429,                   0,             0.83326,             0.70432,             0.77454,             0.50018,           0.0036835,           0.0011864,                   0,            0.002872,            0.002872,            0.002872
                  38,             0.03607,            0.004965,                   0,             0.82846,             0.69767,             0.77414,             0.50101,           0.0037169,           0.0011153,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.036199,           0.0048332,                   0,             0.81298,             0.69323,             0.77426,             0.52496,           0.0037165,           0.0011055,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.035946,           0.0047655,                   0,             0.83164,             0.64452,              0.7754,             0.51644,           0.0038015,           0.0011231,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.034303,           0.0047688,                   0,             0.83492,             0.70764,             0.79692,             0.54096,           0.0035884,           0.0010719,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.034516,           0.0048006,                   0,             0.86126,              0.7012,             0.79825,             0.52887,           0.0036538,           0.0010855,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.034709,            0.004791,                   0,             0.84373,              0.7175,             0.80248,             0.54261,           0.0036326,           0.0010558,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.034037,           0.0048294,                   0,             0.81176,              0.7309,             0.78867,             0.51938,           0.0036541,           0.0010667,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.033942,           0.0046096,                   0,             0.86733,             0.70764,             0.79327,             0.53173,           0.0036329,            0.001078,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.033952,           0.0045264,                   0,             0.86069,             0.70432,             0.80126,             0.53915,           0.0035561,           0.0010776,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.03303,           0.0047177,                   0,             0.88049,               0.701,             0.79932,             0.54147,           0.0035434,           0.0010688,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.033576,           0.0046628,                   0,             0.83898,             0.70432,             0.79981,             0.54773,           0.0035121,           0.0010582,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.032565,           0.0045812,                   0,             0.85771,             0.70432,              0.8035,             0.55234,           0.0034925,           0.0010618,                   0,            0.000496,            0.000496,            0.000496
