               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083189,            0.029752,            0.014154,             0.66799,             0.47674,             0.52727,             0.27072,            0.058128,            0.015101,           0.0088137,             0.07002,           0.0033311,           0.0033311
                   1,            0.068323,            0.029327,           0.0043703,             0.67556,             0.47445,             0.53254,             0.27968,            0.055867,             0.01514,           0.0077657,            0.039888,           0.0065325,           0.0065325
                   2,            0.067101,            0.029764,             0.00374,             0.67678,             0.48962,             0.53482,             0.28627,            0.057526,            0.015668,           0.0070297,            0.009624,           0.0096019,           0.0096019
                   3,            0.066242,            0.029921,           0.0035902,             0.68274,             0.47203,             0.53299,             0.29222,            0.056841,            0.015701,           0.0080582,            0.009406,            0.009406,            0.009406
                   4,             0.06486,            0.029619,           0.0030074,             0.71634,             0.51126,             0.57267,             0.31858,            0.055078,             0.01546,           0.0062777,            0.009406,            0.009406,            0.009406
                   5,            0.063633,            0.029371,           0.0026141,               0.683,             0.51368,              0.5654,             0.31597,            0.054694,            0.015345,           0.0069554,            0.009208,            0.009208,            0.009208
                   6,            0.063028,            0.029074,           0.0021522,             0.72422,             0.51491,             0.58358,             0.32775,            0.054453,            0.015398,           0.0058624,             0.00901,             0.00901,             0.00901
                   7,            0.062324,            0.029078,           0.0020516,             0.74436,             0.53831,             0.60373,             0.34281,            0.053413,            0.015016,           0.0053437,            0.008812,            0.008812,            0.008812
                   8,            0.061926,            0.028797,           0.0018792,             0.75835,             0.53573,              0.6088,             0.34502,            0.053024,            0.014871,           0.0048253,            0.008614,            0.008614,            0.008614
                   9,            0.061371,            0.028658,           0.0016901,             0.75804,             0.53541,             0.61098,             0.35111,            0.052614,            0.014774,           0.0052971,            0.008416,            0.008416,            0.008416
                  10,            0.060978,            0.028401,           0.0016702,             0.75953,             0.55096,             0.61943,             0.36147,            0.052363,            0.014741,           0.0059837,            0.008218,            0.008218,            0.008218
                  11,            0.060644,            0.028563,           0.0016537,             0.76408,             0.56487,             0.63736,             0.37096,            0.052015,            0.014529,            0.004137,             0.00802,             0.00802,             0.00802
                  12,            0.060376,            0.028352,            0.001434,             0.77677,             0.55918,             0.63037,             0.37055,            0.051417,            0.014429,           0.0043201,            0.007822,            0.007822,            0.007822
                  13,            0.059846,            0.028019,           0.0014328,              0.7677,             0.57018,             0.63494,             0.37515,            0.051386,            0.014299,           0.0051808,            0.007624,            0.007624,            0.007624
                  14,            0.059753,            0.028093,           0.0014162,             0.77268,             0.55509,             0.63326,             0.37068,            0.051311,            0.014459,            0.005045,            0.007426,            0.007426,            0.007426
                  15,            0.059684,            0.028158,           0.0015128,             0.76523,             0.57324,             0.64367,             0.38034,            0.050822,            0.014254,           0.0042812,            0.007228,            0.007228,            0.007228
                  16,            0.059162,             0.02778,           0.0013244,             0.79386,             0.56764,             0.64644,             0.38105,            0.050765,            0.014093,           0.0047705,             0.00703,             0.00703,             0.00703
                  17,            0.059153,            0.027832,           0.0013256,              0.7768,             0.56774,             0.64963,             0.38648,            0.050316,            0.014106,           0.0045811,            0.006832,            0.006832,            0.006832
                  18,            0.058859,            0.027595,           0.0012632,             0.76944,             0.58896,              0.6576,             0.38747,            0.050246,            0.014158,           0.0035753,            0.006634,            0.006634,            0.006634
                  19,            0.058745,            0.027668,           0.0011606,             0.77421,              0.5817,             0.65122,             0.38569,            0.050212,            0.014076,            0.004101,            0.006436,            0.006436,            0.006436
                  20,            0.058478,            0.027329,           0.0012141,             0.76732,             0.59201,             0.65633,              0.3909,            0.050079,            0.014046,           0.0037065,            0.006238,            0.006238,            0.006238
                  21,            0.058244,            0.027535,           0.0011098,             0.77703,             0.58612,             0.65607,               0.393,            0.049933,            0.013951,           0.0037799,             0.00604,             0.00604,             0.00604
                  22,             0.05787,            0.027412,           0.0011015,             0.77513,             0.59331,             0.65915,             0.39642,             0.04964,            0.013881,           0.0041911,            0.005842,            0.005842,            0.005842
                  23,            0.057829,            0.027358,           0.0011372,             0.78863,             0.58923,             0.66313,             0.39921,            0.049589,            0.013906,           0.0034385,            0.005644,            0.005644,            0.005644
                  24,             0.05776,            0.027374,           0.0010317,             0.78633,             0.59623,             0.66574,              0.4018,            0.049546,            0.013899,           0.0033692,            0.005446,            0.005446,            0.005446
                  25,            0.057366,            0.026995,           0.0010071,             0.78122,             0.59312,             0.66535,             0.40302,             0.04937,            0.013915,           0.0038367,            0.005248,            0.005248,            0.005248
