               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075455,            0.042634,            0.016933,             0.68769,             0.61297,             0.65158,             0.31344,              0.0474,            0.018158,           0.0096949,            0.070043,           0.0033285,           0.0033285
                   1,            0.058777,            0.039406,           0.0041754,             0.78381,             0.69982,              0.7675,             0.42629,            0.042483,            0.017761,           0.0030364,            0.039977,           0.0065959,           0.0065959
                   2,            0.055527,            0.039435,           0.0031444,             0.82499,             0.67331,             0.76234,             0.42933,            0.040849,            0.018281,           0.0030621,           0.0098454,           0.0097973,           0.0097973
                   3,            0.053456,            0.040208,           0.0026005,             0.82648,              0.7122,             0.79342,             0.45201,            0.039797,            0.018212,            0.001456,            0.009703,            0.009703,            0.009703
                   4,            0.051354,            0.039984,           0.0020877,              0.8495,             0.68048,             0.78402,             0.45596,            0.038457,            0.018066,           0.0018601,            0.009703,            0.009703,            0.009703
                   5,            0.049773,            0.039146,            0.001807,             0.83962,             0.72748,             0.81747,             0.48958,            0.037759,            0.017453,           0.0013997,            0.009604,            0.009604,            0.009604
                   6,            0.048699,            0.038585,           0.0016679,              0.8572,             0.73143,             0.81473,             0.49935,             0.03782,            0.017656,           0.0011466,            0.009505,            0.009505,            0.009505
                   7,            0.048008,            0.037885,            0.001378,             0.84295,             0.72892,             0.81988,             0.50343,            0.037355,            0.017499,           0.0012167,            0.009406,            0.009406,            0.009406
                   8,            0.047439,             0.03771,           0.0012349,             0.85784,             0.73592,             0.82276,             0.50257,            0.037286,            0.017424,           0.0012464,            0.009307,            0.009307,            0.009307
                   9,             0.04697,            0.037451,            0.001108,              0.8505,             0.73736,             0.83309,             0.52346,            0.036106,            0.017339,           0.0012344,            0.009208,            0.009208,            0.009208
                  10,            0.046586,            0.037324,           0.0010432,             0.84151,             0.74184,             0.82671,             0.52531,            0.035647,            0.017256,          0.00081635,            0.009109,            0.009109,            0.009109
                  11,            0.046247,            0.037122,           0.0010377,             0.83556,             0.74789,             0.83174,             0.51611,            0.036043,            0.017115,           0.0017415,             0.00901,             0.00901,             0.00901
                  12,            0.045911,            0.036904,           0.0010256,             0.86344,              0.7376,             0.83567,             0.53054,            0.035525,            0.017007,          0.00081131,            0.008911,            0.008911,            0.008911
                  13,            0.045559,            0.036684,           0.0009628,             0.84406,             0.75601,             0.83498,             0.53103,            0.035896,            0.016962,          0.00090405,            0.008812,            0.008812,            0.008812
                  14,            0.045154,            0.036353,          0.00080317,              0.8648,             0.75234,             0.84632,             0.53955,            0.034894,            0.016913,          0.00083976,            0.008713,            0.008713,            0.008713
                  15,            0.044654,             0.03632,          0.00094261,             0.87435,              0.7531,             0.84863,             0.54214,            0.035096,            0.016777,          0.00075057,            0.008614,            0.008614,            0.008614
                  16,            0.044649,            0.036287,          0.00082431,             0.87462,             0.75512,             0.85062,             0.54228,            0.034755,            0.016693,          0.00072093,            0.008515,            0.008515,            0.008515
                  17,            0.044404,              0.0356,          0.00082197,             0.87353,              0.7469,             0.84072,             0.54303,            0.035094,            0.016999,           0.0010896,            0.008416,            0.008416,            0.008416
                  18,            0.044283,            0.036026,          0.00085225,             0.85044,              0.7705,             0.84989,              0.5478,            0.034668,            0.016686,          0.00079022,            0.008317,            0.008317,            0.008317
                  19,            0.043936,            0.035702,          0.00074997,             0.87191,               0.765,             0.85267,             0.54845,            0.034773,             0.01683,          0.00091988,            0.008218,            0.008218,            0.008218
                  20,            0.043948,            0.035661,          0.00083904,             0.86746,             0.77854,             0.85831,             0.55938,            0.034495,            0.016634,           0.0010729,            0.008119,            0.008119,            0.008119
                  21,            0.043557,             0.03498,          0.00073782,              0.8681,             0.76525,             0.85074,             0.55659,            0.034412,            0.016703,          0.00070849,             0.00802,             0.00802,             0.00802
                  22,             0.04332,            0.035259,          0.00077995,              0.8612,             0.77159,             0.85324,             0.55452,             0.03438,            0.016821,          0.00091542,            0.007921,            0.007921,            0.007921
                  23,            0.043199,            0.034924,          0.00075167,             0.88429,             0.77626,              0.8587,             0.56225,            0.034249,            0.016539,          0.00074736,            0.007822,            0.007822,            0.007822
                  24,            0.042974,             0.03498,          0.00071475,             0.87059,             0.77116,             0.85141,             0.56086,            0.034292,            0.016534,          0.00091391,            0.007723,            0.007723,            0.007723
                  25,            0.042766,            0.034691,          0.00065485,              0.8767,             0.77798,             0.85866,             0.57163,            0.034107,            0.016466,          0.00054219,            0.007624,            0.007624,            0.007624
                  26,            0.042534,            0.034666,          0.00071613,             0.88397,             0.77651,             0.85989,             0.56742,            0.033481,            0.016379,          0.00050573,            0.007525,            0.007525,            0.007525
                  27,            0.042679,            0.034756,          0.00056979,             0.87694,             0.77287,             0.85802,             0.56418,            0.033943,            0.016434,          0.00076125,            0.007426,            0.007426,            0.007426
                  28,            0.042206,            0.034424,          0.00063165,             0.88243,             0.77082,             0.85914,             0.56841,            0.033817,            0.016664,          0.00058202,            0.007327,            0.007327,            0.007327
                  29,            0.042382,            0.034293,          0.00060134,             0.88622,             0.78024,             0.86363,             0.57163,            0.033275,            0.016252,          0.00071014,            0.007228,            0.007228,            0.007228
                  30,            0.042177,            0.034457,           0.0005723,             0.87852,             0.77315,             0.85715,             0.56752,            0.033721,            0.016534,          0.00065129,            0.007129,            0.007129,            0.007129
                  31,            0.041877,            0.034165,          0.00056685,             0.88507,             0.77834,             0.86145,             0.57587,             0.03355,            0.016166,          0.00075879,             0.00703,             0.00703,             0.00703
                  32,            0.041706,            0.034146,          0.00062309,             0.89136,             0.77779,             0.86237,             0.58003,             0.03352,             0.01628,          0.00082062,            0.006931,            0.006931,            0.006931
                  33,            0.041612,            0.034014,          0.00050427,             0.88336,             0.77163,             0.86177,             0.57907,            0.033521,            0.016254,          0.00070554,            0.006832,            0.006832,            0.006832
                  34,             0.04167,            0.034132,          0.00051809,              0.8827,             0.78321,             0.86371,             0.57567,            0.033376,              0.0162,          0.00063826,            0.006733,            0.006733,            0.006733
                  35,            0.041214,            0.033479,          0.00052594,             0.88896,             0.77721,             0.86161,             0.57904,             0.03355,            0.016273,          0.00074522,            0.006634,            0.006634,            0.006634
                  36,            0.041527,            0.033824,          0.00065126,             0.88172,             0.78318,             0.86326,             0.58233,            0.033271,            0.016257,          0.00075289,            0.006535,            0.006535,            0.006535
                  37,             0.04145,            0.033728,           0.0005657,             0.88394,              0.7793,             0.86402,             0.58051,            0.033108,            0.016203,          0.00094695,            0.006436,            0.006436,            0.006436
                  38,            0.041096,            0.033382,          0.00057896,             0.87876,             0.78241,             0.86531,             0.58861,            0.032823,            0.016222,          0.00071798,            0.006337,            0.006337,            0.006337
                  39,            0.041065,            0.033294,          0.00055386,             0.88467,             0.78045,              0.8614,             0.58421,            0.033082,            0.016242,          0.00071371,            0.006238,            0.006238,            0.006238
                  40,            0.040976,            0.033191,          0.00049898,             0.88309,             0.78205,             0.86174,             0.58703,            0.032909,            0.016178,          0.00062916,            0.006139,            0.006139,            0.006139
                  41,            0.040909,            0.033364,          0.00052936,             0.89256,             0.78272,             0.86615,              0.5847,            0.032991,            0.016224,          0.00077284,             0.00604,             0.00604,             0.00604
                  42,            0.040761,            0.032971,          0.00055662,             0.89702,             0.77503,             0.86742,             0.58425,            0.032988,            0.016194,          0.00067382,            0.005941,            0.005941,            0.005941
                  43,            0.040445,            0.033185,          0.00052297,             0.89079,             0.78432,              0.8672,             0.58909,            0.033094,            0.016294,          0.00053691,            0.005842,            0.005842,            0.005842
                  44,            0.040218,            0.032922,          0.00041888,             0.90512,             0.78005,             0.86859,             0.59455,            0.033017,            0.016199,          0.00049393,            0.005743,            0.005743,            0.005743
                  45,            0.040232,            0.032445,          0.00052392,             0.90603,             0.77568,               0.866,             0.59092,             0.03294,             0.01619,          0.00054172,            0.005644,            0.005644,            0.005644
                  46,            0.040262,            0.032835,          0.00050224,             0.89423,             0.78953,             0.87166,             0.59505,            0.032771,            0.016081,          0.00064017,            0.005545,            0.005545,            0.005545
                  47,            0.040081,            0.032681,          0.00045551,              0.8902,              0.7877,             0.86795,             0.59467,            0.032714,            0.016083,          0.00064898,            0.005446,            0.005446,            0.005446
                  48,            0.040113,            0.032429,          0.00042878,             0.90381,             0.78421,             0.86997,             0.59652,            0.032666,            0.015892,          0.00072201,            0.005347,            0.005347,            0.005347
                  49,            0.039744,            0.031973,          0.00042593,             0.90128,             0.78493,             0.87089,             0.59853,            0.032596,            0.016009,          0.00067807,            0.005248,            0.005248,            0.005248
                  50,             0.03969,            0.032316,          0.00051534,             0.91032,             0.77809,             0.86961,             0.59748,             0.03264,            0.016015,          0.00069278,            0.005149,            0.005149,            0.005149
                  51,             0.03957,            0.032573,          0.00043239,             0.90537,             0.77591,             0.86798,             0.59579,            0.032514,            0.016074,          0.00071913,             0.00505,             0.00505,             0.00505
                  52,            0.039514,            0.032079,          0.00040809,             0.89759,             0.77431,             0.86706,             0.60058,            0.032273,            0.016141,          0.00075108,            0.004951,            0.004951,            0.004951
                  53,            0.039509,            0.032323,          0.00045259,             0.89623,              0.7845,             0.86716,             0.60062,            0.032228,            0.016125,          0.00076543,            0.004852,            0.004852,            0.004852
                  54,            0.039209,            0.032122,          0.00038838,             0.89812,             0.78857,             0.86736,             0.60041,            0.032639,            0.016114,          0.00066761,            0.004753,            0.004753,            0.004753
                  55,            0.039125,            0.031737,            0.000377,             0.90499,             0.78196,             0.86905,             0.60134,            0.032619,            0.016132,          0.00066122,            0.004654,            0.004654,            0.004654
                  56,            0.039131,            0.031882,          0.00040496,             0.90331,             0.78055,             0.86965,              0.6012,            0.032513,             0.01613,          0.00057506,            0.004555,            0.004555,            0.004555
