               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065897,            0.015709,                   0,             0.58194,               0.625,             0.55972,             0.29467,            0.018191,           0.0053597,                   0,            0.070043,           0.0033285,           0.0033285
                   1,            0.049197,             0.01179,                   0,             0.84111,             0.71216,             0.80762,              0.5089,            0.015785,           0.0043293,                   0,            0.039911,             0.00653,             0.00653
                   2,            0.047183,             0.01106,                   0,             0.80027,             0.62041,             0.72105,             0.46733,            0.018863,           0.0047184,                   0,           0.0096475,           0.0095994,           0.0095994
                   3,            0.046044,            0.010987,                   0,             0.85058,             0.70298,             0.78813,             0.47331,            0.017777,           0.0046032,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.044102,            0.010801,                   0,             0.80377,             0.69725,             0.78828,             0.47209,            0.016862,           0.0044461,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.042337,            0.010361,                   0,             0.88395,             0.72503,             0.82437,             0.54882,            0.014844,           0.0042451,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.040785,            0.010115,                   0,              0.8812,             0.70183,             0.81783,             0.54407,            0.015613,           0.0042449,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.040331,           0.0097696,                   0,              0.8717,             0.71685,             0.82814,             0.55942,            0.014926,           0.0041247,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.039334,           0.0095993,                   0,             0.86725,             0.71923,             0.83651,             0.56618,            0.014652,           0.0041637,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.038934,           0.0095323,                   0,             0.90098,              0.7304,             0.84019,             0.56567,            0.014418,           0.0043393,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.038269,           0.0094645,                   0,             0.86115,             0.74771,             0.85045,             0.57823,            0.014001,           0.0041019,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.038005,           0.0094004,                   0,             0.87423,             0.76528,             0.86141,             0.58998,            0.013902,            0.004112,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.037513,           0.0092291,                   0,             0.84818,             0.75598,             0.84742,             0.58749,            0.014201,           0.0042153,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.036869,           0.0090397,                   0,             0.88243,             0.77408,             0.86846,             0.60218,            0.014017,           0.0040472,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.03667,           0.0089835,                   0,             0.88976,             0.74975,             0.85886,              0.5989,            0.013713,           0.0041013,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.036358,           0.0091496,                   0,             0.85606,             0.77179,             0.86189,             0.59138,            0.014071,           0.0040417,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.036066,           0.0089459,                   0,               0.888,             0.73853,             0.85629,             0.60271,            0.013374,            0.004083,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.035655,           0.0088905,                   0,             0.85942,             0.75573,             0.84987,             0.58792,            0.013474,           0.0041143,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.035508,           0.0086496,                   0,              0.8763,             0.75229,             0.85587,             0.59518,            0.013645,            0.004062,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.034847,           0.0087645,                   0,             0.82527,             0.76372,             0.84372,              0.5973,            0.013509,           0.0041027,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.034527,           0.0087055,                   0,             0.86335,             0.77064,             0.84999,             0.59468,            0.013662,           0.0041136,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.034236,           0.0084403,                   0,             0.84635,             0.78096,             0.85789,             0.60249,             0.01343,           0.0041095,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.034312,           0.0085141,                   0,              0.8589,                0.75,             0.85118,             0.60159,            0.012954,           0.0041372,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.033696,           0.0082869,                   0,             0.87583,             0.78458,             0.86464,             0.61798,            0.013015,           0.0039415,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.03347,            0.008248,                   0,             0.90121,             0.76376,             0.86398,             0.61665,            0.012841,           0.0039954,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.033271,            0.008261,                   0,             0.86673,              0.7867,             0.86447,             0.62514,              0.0127,           0.0040306,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.032975,           0.0081748,                   0,             0.86373,             0.79128,             0.86972,             0.62489,            0.012877,           0.0039465,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.032745,           0.0080846,                   0,             0.83816,             0.79586,             0.86948,             0.63011,            0.012409,           0.0040056,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.032263,           0.0081013,                   0,             0.89442,             0.77721,              0.8727,             0.63544,            0.012415,            0.004032,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.032712,           0.0080193,                   0,             0.87243,             0.78096,              0.8712,             0.64181,            0.012272,           0.0039714,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.032154,           0.0078788,                   0,             0.86672,              0.7867,             0.86078,             0.62187,            0.012667,           0.0040788,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.031994,           0.0078664,                   0,             0.87249,             0.77638,             0.86728,              0.6374,            0.012319,           0.0040341,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.031588,           0.0077254,                   0,             0.89103,             0.75803,             0.85727,             0.63382,            0.012427,           0.0040845,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.031559,           0.0077885,                   0,             0.86075,             0.78682,             0.86881,             0.64249,             0.01212,           0.0040879,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.031044,           0.0077204,                   0,             0.88827,             0.76835,             0.86451,              0.6447,             0.01245,           0.0040374,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.031168,           0.0074487,                   0,              0.8836,             0.76032,             0.86944,             0.63213,            0.012233,           0.0040883,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.030763,           0.0075203,                   0,             0.86269,             0.80505,             0.88092,             0.65276,            0.012513,           0.0040108,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.030422,           0.0074881,                   0,             0.87137,             0.80046,             0.87481,             0.65658,            0.012206,           0.0040215,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.030462,           0.0075721,                   0,             0.88112,             0.79358,             0.88339,             0.65518,            0.011904,            0.003929,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.029974,           0.0073552,                   0,               0.882,             0.79472,             0.88354,             0.65581,            0.012316,           0.0039516,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.029786,           0.0073267,                   0,             0.89702,             0.77914,             0.87517,             0.65443,             0.01245,           0.0039772,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.029732,           0.0072917,                   0,             0.87457,             0.79587,             0.87486,             0.65186,            0.012325,            0.004012,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.029231,            0.007152,                   0,             0.88352,             0.80161,             0.87775,             0.65723,             0.01263,           0.0039932,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.029196,           0.0072369,                   0,             0.89966,             0.79243,             0.88046,             0.66188,            0.012363,           0.0039697,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.028558,           0.0071153,                   0,             0.89368,             0.78078,             0.87239,              0.6526,            0.012373,           0.0040252,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.028152,           0.0069176,                   0,             0.88206,             0.78051,             0.86961,              0.6558,            0.012508,           0.0040868,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.028329,           0.0070561,                   0,             0.89027,             0.77752,             0.87069,              0.6552,            0.012443,           0.0041456,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.028395,           0.0069648,                   0,             0.89581,             0.78876,             0.87658,             0.65834,            0.012552,           0.0041365,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.028351,           0.0069886,                   0,             0.91828,             0.77523,             0.87444,              0.6546,            0.012701,           0.0041417,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.027599,           0.0067426,                   0,             0.91141,             0.77638,             0.87258,             0.65408,            0.012627,           0.0041316,                   0,            0.000496,            0.000496,            0.000496
