               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074496,            0.039982,            0.018226,              0.7203,              0.5949,              0.6651,             0.34725,            0.044568,            0.017853,           0.0083816,            0.070038,           0.0033291,           0.0033291
                   1,            0.058877,            0.037346,            0.004634,             0.80808,             0.68856,             0.76973,             0.43483,            0.039471,            0.017589,           0.0034194,            0.039906,           0.0065305,           0.0065305
                   2,            0.056319,            0.037691,           0.0036488,             0.79043,              0.6369,             0.72593,             0.38063,            0.040866,            0.018712,           0.0035758,           0.0096424,           0.0095999,           0.0095999
                   3,            0.053908,             0.03806,           0.0032621,             0.80422,             0.69322,             0.78285,             0.45423,            0.038283,            0.017987,           0.0025721,            0.009406,            0.009406,            0.009406
                   4,            0.051781,             0.03746,           0.0023182,             0.81069,              0.7132,             0.79195,             0.46791,            0.037663,             0.01768,           0.0029468,            0.009406,            0.009406,            0.009406
                   5,             0.05049,            0.036931,           0.0019044,             0.82692,             0.70845,             0.80224,             0.48138,            0.036371,             0.01779,           0.0020894,            0.009208,            0.009208,            0.009208
                   6,            0.049619,            0.036669,           0.0017231,             0.84352,             0.71743,             0.81289,             0.49501,            0.035741,            0.017237,           0.0014723,             0.00901,             0.00901,             0.00901
                   7,            0.049011,             0.03595,           0.0016408,             0.84962,             0.72961,             0.81938,             0.49955,            0.035654,            0.017497,           0.0012989,            0.008812,            0.008812,            0.008812
                   8,            0.048571,            0.036169,           0.0015357,             0.85882,              0.7175,             0.81715,             0.49387,            0.035973,             0.01734,           0.0014448,            0.008614,            0.008614,            0.008614
                   9,            0.047806,            0.035643,           0.0013443,              0.8457,             0.74966,              0.8319,             0.51557,            0.035258,            0.017243,           0.0010811,            0.008416,            0.008416,            0.008416
                  10,            0.047382,            0.035369,           0.0012918,             0.86216,             0.71266,             0.81921,             0.50462,            0.035148,            0.017102,           0.0013095,            0.008218,            0.008218,            0.008218
                  11,            0.046856,            0.034969,           0.0012061,             0.86246,             0.75089,             0.84486,             0.52846,            0.034379,            0.016816,           0.0011619,             0.00802,             0.00802,             0.00802
                  12,            0.046525,            0.034979,           0.0011682,             0.84945,             0.75093,             0.83972,             0.52956,             0.03452,            0.016783,           0.0010266,            0.007822,            0.007822,            0.007822
                  13,            0.046326,            0.034978,           0.0011288,             0.84943,             0.75999,             0.84474,             0.53045,             0.03403,            0.016784,           0.0010677,            0.007624,            0.007624,            0.007624
                  14,            0.045657,            0.034172,           0.0010065,             0.84518,             0.75727,             0.84189,             0.53841,             0.03357,            0.016662,           0.0012482,            0.007426,            0.007426,            0.007426
                  15,            0.045635,            0.034149,          0.00098389,             0.86502,             0.75577,              0.8475,             0.54477,            0.033485,            0.016498,           0.0010552,            0.007228,            0.007228,            0.007228
                  16,             0.04528,            0.034068,           0.0008505,             0.87594,             0.74557,             0.84719,             0.55202,            0.033076,            0.016521,           0.0010222,             0.00703,             0.00703,             0.00703
                  17,             0.04499,            0.033868,          0.00094925,             0.87359,             0.75256,             0.84839,             0.55151,            0.033194,            0.016519,           0.0010801,            0.006832,            0.006832,            0.006832
                  18,              0.0448,             0.03385,          0.00084888,             0.86009,             0.76843,             0.85171,             0.54238,            0.033123,            0.016421,           0.0008545,            0.006634,            0.006634,            0.006634
                  19,            0.044632,            0.033498,          0.00080319,             0.85872,             0.76024,             0.84684,             0.54494,             0.03309,            0.016445,           0.0011093,            0.006436,            0.006436,            0.006436
                  20,            0.044504,            0.033601,          0.00083266,             0.86375,             0.76346,             0.84739,             0.54949,            0.032764,            0.016531,          0.00086617,            0.006238,            0.006238,            0.006238
                  21,            0.044074,            0.033327,          0.00069663,              0.8645,             0.75722,               0.845,             0.55551,            0.032995,            0.016338,          0.00080975,             0.00604,             0.00604,             0.00604
                  22,            0.043852,            0.033294,          0.00070846,             0.86024,             0.76387,             0.84816,             0.55173,             0.03291,            0.016503,          0.00095937,            0.005842,            0.005842,            0.005842
                  23,            0.043617,            0.033255,          0.00073015,             0.87416,             0.75728,             0.84715,             0.55162,            0.032713,            0.016425,          0.00094073,            0.005644,            0.005644,            0.005644
                  24,            0.043399,             0.03275,          0.00079381,             0.86405,             0.77346,             0.85747,             0.55684,            0.032414,            0.016375,          0.00085843,            0.005446,            0.005446,            0.005446
                  25,            0.042997,             0.03246,          0.00070427,             0.86369,              0.7753,             0.85603,             0.56324,            0.032124,            0.016348,          0.00075927,            0.005248,            0.005248,            0.005248
                  26,            0.043018,             0.03265,          0.00063769,             0.87559,             0.78419,             0.86528,             0.57043,             0.03193,            0.016073,          0.00092038,             0.00505,             0.00505,             0.00505
                  27,            0.043071,            0.032422,          0.00064697,             0.86705,             0.76937,             0.85392,             0.56656,            0.031962,            0.016246,          0.00084758,            0.004852,            0.004852,            0.004852
                  28,            0.042512,            0.031847,          0.00067274,             0.86202,             0.79067,             0.86284,             0.57725,            0.031724,            0.016025,          0.00074628,            0.004654,            0.004654,            0.004654
                  29,            0.042456,            0.032131,          0.00055382,             0.88925,             0.77916,             0.86377,             0.57367,            0.031581,            0.015971,          0.00083313,            0.004456,            0.004456,            0.004456
                  30,             0.04242,            0.032452,          0.00054669,             0.87177,             0.78158,             0.86121,             0.57379,             0.03138,            0.016024,          0.00071873,            0.004258,            0.004258,            0.004258
                  31,            0.041979,            0.032165,          0.00052137,             0.87651,             0.77567,             0.86015,             0.57456,            0.031373,             0.01608,          0.00068961,             0.00406,             0.00406,             0.00406
                  32,            0.042045,            0.031792,          0.00045703,              0.8785,             0.77845,             0.86105,             0.57909,            0.031493,            0.016059,           0.0009408,            0.003862,            0.003862,            0.003862
                  33,            0.041395,            0.031729,          0.00047888,             0.88486,             0.76766,              0.8592,             0.57925,             0.03158,            0.016037,          0.00081277,            0.003664,            0.003664,            0.003664
                  34,            0.041514,            0.031128,          0.00045359,             0.87713,             0.77432,             0.86126,             0.58114,            0.031311,             0.01618,          0.00068875,            0.003466,            0.003466,            0.003466
                  35,            0.041399,            0.031564,           0.0004845,             0.87721,             0.77364,             0.86169,             0.57877,            0.031255,            0.016039,           0.0005822,            0.003268,            0.003268,            0.003268
                  36,            0.041289,            0.031195,          0.00043177,             0.87752,             0.77551,             0.86506,             0.58314,            0.030893,            0.015906,          0.00059926,             0.00307,             0.00307,             0.00307
                  37,            0.040974,            0.031329,          0.00044954,             0.88159,             0.77103,             0.86183,             0.58269,            0.031113,            0.015999,          0.00064776,            0.002872,            0.002872,            0.002872
                  38,            0.040619,            0.030538,          0.00042928,             0.87622,             0.78296,             0.86197,             0.58067,            0.030936,            0.016002,          0.00062691,            0.002674,            0.002674,            0.002674
                  39,             0.04091,            0.030996,          0.00041238,             0.88138,             0.77796,             0.86267,             0.58566,            0.031135,            0.016006,          0.00065959,            0.002476,            0.002476,            0.002476
                  40,            0.040612,            0.030771,          0.00038603,             0.87875,             0.78165,             0.86413,             0.58696,            0.031094,            0.016071,          0.00063744,            0.002278,            0.002278,            0.002278
                  41,            0.040347,            0.030387,          0.00040949,             0.88256,             0.77406,             0.86147,             0.58856,            0.030846,            0.016068,          0.00060602,             0.00208,             0.00208,             0.00208
                  42,            0.040174,            0.030368,          0.00039784,             0.88878,             0.77518,             0.86622,             0.59044,            0.030709,            0.015986,          0.00055151,            0.001882,            0.001882,            0.001882
                  43,            0.039984,            0.030213,          0.00034602,               0.886,             0.78368,             0.86491,             0.59326,            0.030585,            0.015961,          0.00058219,            0.001684,            0.001684,            0.001684
